90,0.05,0.000555556
90,0.072,0.0008
90,0.125,0.001388889
90,0.15,0.001666667
90,0.28,0.003111111
90,0.15,0.001666667
90,0.402,0.004466667
90,0.67,0.007444444
90,0.879,0.009766667
90,1.437,0.015966667
90,1.071,0.0119
90,2.143,0.023811111
90,0.55,0.006111111
90,2.679,0.029766667
90,1.28,0.014222222
90,3.107,0.034522222
90,2.15,0.023888889
90,3.509,0.038988889
90,4.5,0.05
90,4.5,0.05
90,5.518,0.061311111
90,7.9,0.087777778
90,5.5,0.061111111
90,10.446,0.116066667
90,12.86,0.142888889
90,7.5,0.083333333
90,17.14,0.190444444
90,21,0.233333333
90,22.47,0.249666667
90,17.14,0.190444444
90,28,0.311111111
90,34.29,0.381
90,42.86,0.476222222
90,40,0.444444444
90,17.14,0.190444444
90,21,0.233333333
90,32,0.355555556
90,28,0.311111111
90,40,0.444444444
